,DFO_ID,ISO3,FE,BQFE,CI,QR
535,4365,BGD,322664.17552377464,34329.51404281445,0.0090763945814356,0.6800715761736356
571,3674,IND,240024.05900231667,11212.312406299196,0.059113464890075,0.6935539152752637
576,3169,BGD,426594.9208063104,67055.76682513423,-0.02138859974451,0.7477701785201442
579,3437,PHL,627256.2932633182,105077.00190705166,-0.0922911757242411,0.6010304180282731
580,4499,IND,709737.8541427695,187301.74851310012,-0.3615542908521266,0.0022142820582949
581,4499,BGD,474828.0789746197,235818.81895848276,-0.516418023081648,2.768543461952055e-05
615,2264,PHL,251769.2612741172,36865.74837168688,-0.1065184083694419,0.5081514896030116
618,4231,IDN,191675.10961485148,38608.47803041321,-0.2414918973446219,0.3070135161398775
620,2728,IND,735332.6460462686,163580.56643221265,-0.1298046302546978,0.3853137474686595
621,2728,BGD,263304.6792381848,122912.44718586103,-0.4967529471470104,0.0012142424149978
622,1991,VNM,4148472.204548071,1871006.6477605808,-0.4369809600639454,0.045968361282299
623,1991,THA,651966.6240419621,197328.9813812893,-0.2377800018849408,0.2619545393656418
625,1991,KHM,789625.7975612022,178061.5180195183,-0.1678331881917004,0.2449859068493162
632,2911,IND,912590.1672826696,235493.12648109137,-0.061817138519802,0.6508732886520224
635,4016,PHL,198078.6406337201,28433.125634654087,-0.1400425842314205,0.3197844383177383
649,3843,IND,424555.5295822265,128064.27412106836,-0.4103558518666859,0.0051392822995854
650,3843,BGD,836878.187499325,398003.9486520143,-0.4825837695200907,0.0036767330226113
651,4459,IND,213538.4896562344,65198.92768228833,-0.2045776732941292,0.5286246358242208
653,4459,BGD,1087747.621272032,483387.00486584095,-0.3583473781754031,0.2494055358019019
673,2940,IND,1468730.0669772115,479489.17909102753,-0.3975995801575633,0.0202783322963225
674,2940,BGD,500477.33831761975,228477.01178505376,-0.474260157309453,0.0065555673786371
675,2434,PHL,655426.1219089873,83002.9642267395,-0.015878821495578,0.967096913859182
677,2555,VNM,2790961.090256789,1455920.0329261585,-0.5144282464577232,0.0219395408271189
678,2555,THA,171836.81686104368,51589.83318998951,-0.1281560825648652,0.6022163324140117
679,2555,KHM,986061.5304102828,269549.0034737308,-0.1667126233890907,0.2959249129880387
685,3125,BGD,175620.59162966386,22945.559231069383,0.0227457940696276,0.7633981888186068
688,3143,IND,11066766.9066811,3556122.159429147,-0.3706186465185432,0.0531490947847805
690,3143,BGD,158013.96310071013,77304.9595263385,-0.434273908179115,0.1062289526014802
698,3723,VNM,109570.68153809964,75546.9499142712,-0.6846069601575505,0.0
703,2570,IND,2611532.773444679,752136.9944946078,-0.291010387962141,0.207780972348284
705,2570,BGD,11204427.057579849,3499582.2516653985,-0.2373719278654388,0.274684625361781
708,2748,VNM,432508.6704194066,259057.3141647341,-0.5945348693093562,0.0024944618533514
710,3216,PHL,181662.13143508515,36849.26622533456,-0.162240474129822,0.2520306066432505
711,2641,PAK,1668670.8074208675,497316.5131823588,-0.2023250696992202,0.2454099839990338
716,3094,VNM,152138.01504427838,32557.556475687543,-0.2382453603781957,0.3990455147970035
722,3208,BGD,3349790.7807292845,1058908.9809857716,-0.2126584483415539,0.3529872861049011
751,3073,VNM,489474.398370519,373926.8262405521,-0.7273339192998578,0.0001509601881834
758,4174,IND,1356185.6871812956,481394.5491097843,-0.4110858918173993,0.003748288245412
761,2690,IND,1316357.4869967322,437264.0912701562,-0.4158983934003522,0.0124082511551678
763,2690,BGD,5180885.261653374,2333972.863195322,-0.4561845777939545,0.0124995330844658
805,3427,PHL,1331417.7366939182,171840.71340143646,-0.0545551969831303,0.7689720145840232
821,3327,IND,541495.4615762499,240955.3039228733,-0.4684354680851883,0.0161938467073657
823,3327,BGD,1624536.4334454513,878047.2745545853,-0.5286452589130581,0.0106357171911062
826,2257,BGD,148947.86204893427,23843.32742894694,-0.0882092543155713,0.2220722928886982
827,3866,IND,1325461.9795099332,341697.28333889204,-0.2959066351468931,0.1085375124143835
828,3866,BGD,839374.872596148,374579.546206777,-0.4518863668753672,0.0049977040151095
829,2209,UKR,146656.1874221839,31791.56461629842,-0.1251371353231389,0.5837950894384379
831,4288,IND,1464620.293520313,705430.2725491086,-0.5421456981943629,6.836082372517576e-05
833,4288,BGD,2111689.037303638,1148066.339967528,-0.5396919648973318,0.0036812802289087
841,3444,PHL,423763.6847592247,50652.41790337961,-0.0586838922151395,0.7413250560752107
846,2543,VNM,473757.3576149184,317665.5271336933,-0.6681212764941904,0.0011902594417594
847,2543,THA,150517.50486298348,49536.83138414136,-0.1799296993337161,0.5019787735172332
849,2543,KHM,290086.7054781583,102194.33224687968,-0.1843593201729785,0.3490278221508152
850,3716,IND,2797099.479895937,1472936.230358649,-0.4974017489037282,0.08126856891521
852,3716,BGD,4569229.028762394,1999497.6498018,-0.4277375894380275,0.0355879060147398
857,1999,IND,21877804.870800283,5704167.455686582,-0.235881312937217,0.2304779641142465
858,1999,NPL,1221108.204233067,93948.291704479,0.0541614206572793,0.9085735310883264
859,1999,BGD,316140.60344510264,80380.68993637277,-0.1134782980723186,0.8662070220475611
860,2059,VNM,691405.2831711072,395231.2784221071,-0.5631877066407719,0.0051705874879177
866,4283,BGD,204032.01409903748,29322.76552057229,-0.0667480064852463,0.1586370126900904
