,DFO_ID,ISO3,FE,BQFE,CI,QR
240,4221,BGR,22661.348837602403,2985.660648230825,0.1285027373531111,1.471342441172586
245,4176,BGD,1410173.8866232457,809519.7509752811,-0.5517177953355692,0.0052820500076255
252,2370,VNM,1014475.2693909144,661859.5701109159,-0.6446568205397469,0.002472678639508
254,2370,THA,213277.50401777012,70770.34990262441,-0.2983036966597379,0.0958861680906128
257,4632,BGD,554063.1075086137,81527.73033700533,-0.043097988633315,0.4160129885083305
258,4355,BGD,677068.5440985793,395664.7966618188,-0.5803368545186305,0.0006031994306046
261,2954,BGD,10375.709814782738,6851.561323483884,-0.6052515942634167,0.0638585498448974
262,2951,VNM,1242478.108649776,783337.5379561298,-0.6277078122554154,0.0026467945805086
263,2951,MYS,76736.9109888585,15301.1606449202,-0.0320569051715186,0.7345569921710485
264,2951,THA,1454337.5564571435,337179.5268648825,-0.0168552555817323,0.9480232459336988
265,2951,LAO,15274.186981237726,1428.9590865599364,0.2453380602885491,3.4026285732053405
266,2951,KHM,12999.343632281943,3172.602924810983,0.0347442998704796,1.3792999553195686
272,2035,VNM,33984.13811141743,8407.000535365603,-0.1387142734079904,0.1323966368810208
274,1974,BGD,5476235.587331727,2116161.8918580064,-0.3500225755590498,0.1144304155927623
276,2626,TUR,23537.44293533072,2664.311838464036,0.2076193662459879,3.268465992119811
279,2626,ALB,11331.891881978563,1251.1760623533748,-0.0884850433113459,0.0008552206788382
284,3854,NPL,12542.148425446228,343.21414776325224,0.5921124838674148,25.588268157078883
285,3854,BGD,110975.2537522894,64293.96194309786,-0.568998746338844,0.0089647959533799
287,4150,PRY,10834.145936315284,1831.06247038424,-0.0784429080508531,0.4331634660318218
288,2174,TUR,199246.38627391055,1724.675530760911,0.2768422172936486,42.61167918404546
290,2174,ROU,42737.45114998936,788.3510203896957,0.3341614973335078,15.615238727772503
291,2174,BGR,75149.98441710269,3098.153487361935,0.2087108707608596,4.338356513259018
293,2174,ALB,14071.459758708574,1276.1816065958185,-0.0344575302077201,0.254784903946311
296,3494,VNM,226435.71316111024,53883.412937436304,-0.208908682387067,0.2743190994454832
